Month,Date,Camping Type,Campers
1,Jan 1 2012,Tent,7807
2,Feb 1 2012,Tent,9145
3,Mar 1 2012,Tent,20767
4,Apr 1 2012,Tent,25879
5,May 1 2012,Tent,40801
6,Jun 1 2012,Tent,68697
7,Jul 1 2012,Tent,99938
8,Aug 1 2012,Tent,95232
9,Sep 1 2012,Tent,59982
10,Oct 1 2012,Tent,33746
11,Nov 1 2012,Tent,16422
12,Dec 1 2012,Tent,8862
1,Jan 1 2012,RV,5647
2,Feb 1 2012,RV,8997
3,Mar 1 2012,RV,13531
4,Apr 1 2012,RV,16352
5,May 1 2012,RV,23929
6,Jun 1 2012,RV,37302
7,Jul 1 2012,RV,46814
8,Aug 1 2012,RV,43202
9,Sep 1 2012,RV,37815
10,Oct 1 2012,RV,24725
11,Nov 1 2012,RV,12272
12,Dec 1 2012,RV,5679
1,Jan 1 2012,Backcountry,3874
2,Feb 1 2012,Backcountry,4658
3,Mar 1 2012,Backcountry,13754
4,Apr 1 2012,Backcountry,14776
5,May 1 2012,Backcountry,23141
6,Jun 1 2012,Backcountry,33431
7,Jul 1 2012,Backcountry,50063
8,Aug 1 2012,Backcountry,49540
9,Sep 1 2012,Backcountry,30673
10,Oct 1 2012,Backcountry,16256
11,Nov 1 2012,Backcountry,8779
12,Dec 1 2012,Backcountry,4465
