Park,Name,ShortName,Region,State,Year,Month,Date,Camping Type,Campers
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,1,Jan 1 2012,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,1,Jan 1 2012,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,1,Jan 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,2,Feb 1 2012,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,2,Feb 1 2012,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,2,Feb 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,3,Mar 1 2012,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,3,Mar 1 2012,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,3,Mar 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,4,Apr 1 2012,Tent,1338
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,4,Apr 1 2012,RV,174
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,4,Apr 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,5,May 1 2012,Tent,7800
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,5,May 1 2012,RV,1467
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,5,May 1 2012,Backcountry,29
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,6,Jun 1 2012,Tent,17220
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,6,Jun 1 2012,RV,3888
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,6,Jun 1 2012,Backcountry,205
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,7,Jul 1 2012,Tent,36156
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,7,Jul 1 2012,RV,6540
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,7,Jul 1 2012,Backcountry,300
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,8,Aug 1 2012,Tent,37554
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,8,Aug 1 2012,RV,7200
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,8,Aug 1 2012,Backcountry,392
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,9,Sep 1 2012,Tent,17832
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,9,Sep 1 2012,RV,6291
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,9,Sep 1 2012,Backcountry,334
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,10,Oct 1 2012,Tent,6387
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,10,Oct 1 2012,RV,1134
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,10,Oct 1 2012,Backcountry,56
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,11,Nov 1 2012,Tent,195
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,11,Nov 1 2012,RV,66
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,11,Nov 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,12,Dec 1 2012,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,12,Dec 1 2012,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2012,12,Dec 1 2012,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,1,Jan 1 2013,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,1,Jan 1 2013,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,1,Jan 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,2,Feb 1 2013,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,2,Feb 1 2013,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,2,Feb 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,3,Mar 1 2013,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,3,Mar 1 2013,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,3,Mar 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,4,Apr 1 2013,Tent,1203
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,4,Apr 1 2013,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,4,Apr 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,5,May 1 2013,Tent,5985
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,5,May 1 2013,RV,1230
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,5,May 1 2013,Backcountry,45
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,6,Jun 1 2013,Tent,17415
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,6,Jun 1 2013,RV,4482
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,6,Jun 1 2013,Backcountry,226
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,7,Jul 1 2013,Tent,34113
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,7,Jul 1 2013,RV,7569
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,7,Jul 1 2013,Backcountry,368
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,8,Aug 1 2013,Tent,37020
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,8,Aug 1 2013,RV,7980
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,8,Aug 1 2013,Backcountry,343
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,9,Sep 1 2013,Tent,17322
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,9,Sep 1 2013,RV,7107
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,9,Sep 1 2013,Backcountry,184
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,10,Oct 1 2013,Tent,1212
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,10,Oct 1 2013,RV,528
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,10,Oct 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,11,Nov 1 2013,Tent,423
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,11,Nov 1 2013,RV,129
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,11,Nov 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,12,Dec 1 2013,Tent,60
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,12,Dec 1 2013,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2013,12,Dec 1 2013,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,1,Jan 1 2014,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,1,Jan 1 2014,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,1,Jan 1 2014,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,2,Feb 1 2014,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,2,Feb 1 2014,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,2,Feb 1 2014,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,3,Mar 1 2014,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,3,Mar 1 2014,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,3,Mar 1 2014,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,4,Apr 1 2014,Tent,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,4,Apr 1 2014,RV,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,4,Apr 1 2014,Backcountry,0
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,5,May 1 2014,Tent,8133
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,5,May 1 2014,RV,1671
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,5,May 1 2014,Backcountry,46
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,6,Jun 1 2014,Tent,19848
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,6,Jun 1 2014,RV,4761
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,6,Jun 1 2014,Backcountry,285
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,7,Jul 1 2014,Tent,35091
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,7,Jul 1 2014,RV,8349
Acadia NP,Acadia National Park,Acadia,Northeast,Maine,2014,7,Jul 1 2014,Backcountry,341
