Park,Name,Unit Code,Park Type,Region,State,Year,Month,Date,Latitude,Longitude,Recreation Visits,Rank
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2012,1,Jan 1 2012,44.35,-68.21,2431052,10
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2013,1,Jan 1 2013,44.35,-68.21,2254922,10
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2014,1,Jan 1 2014,44.35,-68.21,2563129,9
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2015,1,Jan 1 2015,44.35,-68.21,2811184,9
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2016,1,Jan 1 2016,44.35,-68.21,3303393,8
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2017,1,Jan 1 2017,44.35,-68.21,3509271,7
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2018,1,Jan 1 2018,44.35,-68.21,3537575,7
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2019,1,Jan 1 2019,44.35,-68.21,3437286,7
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2020,1,Jan 1 2020,44.35,-68.21,2669034,8
Acadia NP,Acadia National Park,ACAD,National Park,Northeast,ME,2021,1,Jan 1 2021,44.35,-68.21,4069098,6
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2012,1,Jan 1 2012,38.68,-109.57,1070577,22
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2013,1,Jan 1 2013,38.68,-109.57,1082866,21
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2014,1,Jan 1 2014,38.68,-109.57,1284767,18
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2015,1,Jan 1 2015,38.68,-109.57,1399247,19
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2016,1,Jan 1 2016,38.68,-109.57,1585718,17
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2017,1,Jan 1 2017,38.68,-109.57,1539028,18
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2018,1,Jan 1 2018,38.68,-109.57,1663557,19
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2019,1,Jan 1 2019,38.68,-109.57,1659702,19
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2020,1,Jan 1 2020,38.68,-109.57,1238083,19
Arches NP,Arches National Park,ARCH,National Park,Intermountain,UT,2021,1,Jan 1 2021,38.68,-109.57,1806865,18
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2012,1,Jan 1 2012,43.75,-102.5,883406,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2013,1,Jan 1 2013,43.75,-102.5,892372,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2014,1,Jan 1 2014,43.75,-102.5,868094,24
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2015,1,Jan 1 2015,43.75,-102.5,989354,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2016,1,Jan 1 2016,43.75,-102.5,996263,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2017,1,Jan 1 2017,43.75,-102.5,1054325,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2018,1,Jan 1 2018,43.75,-102.5,1008942,25
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2019,1,Jan 1 2019,43.75,-102.5,970998,27
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2020,1,Jan 1 2020,43.75,-102.5,916932,22
Badlands NP,Badlands National Park,BADL,National Park,Midwest,SD,2021,1,Jan 1 2021,43.75,-102.5,1224226,22
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2012,1,Jan 1 2012,29.25,-103.25,292055,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2013,1,Jan 1 2013,29.25,-103.25,316953,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2014,1,Jan 1 2014,29.25,-103.25,314102,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2015,1,Jan 1 2015,29.25,-103.25,381747,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2016,1,Jan 1 2016,29.25,-103.25,388290,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2017,1,Jan 1 2017,29.25,-103.25,440276,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2018,1,Jan 1 2018,29.25,-103.25,440091,41
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2019,1,Jan 1 2019,29.25,-103.25,463832,40
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2020,1,Jan 1 2020,29.25,-103.25,393907,36
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain,TX,2021,1,Jan 1 2021,29.25,-103.25,581220,35
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2012,1,Jan 1 2012,25.65,-80.08,495613,33
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2013,1,Jan 1 2013,25.65,-80.08,486848,35
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2014,1,Jan 1 2014,25.65,-80.08,525745,32
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2015,1,Jan 1 2015,25.65,-80.08,508164,36
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2016,1,Jan 1 2016,25.65,-80.08,514709,39
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2017,1,Jan 1 2017,25.65,-80.08,446961,39
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2018,1,Jan 1 2018,25.65,-80.08,469253,39
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2019,1,Jan 1 2019,25.65,-80.08,708522,29
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2020,1,Jan 1 2020,25.65,-80.08,402770,35
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast,FL,2021,1,Jan 1 2021,25.65,-80.08,705655,32
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2012,1,Jan 1 2012,38.57,-107.72,192570,45
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2013,1,Jan 1 2013,38.57,-107.72,175852,45
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2014,1,Jan 1 2014,38.57,-107.72,183045,44
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2015,1,Jan 1 2015,38.57,-107.72,209166,44
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2016,1,Jan 1 2016,38.57,-107.72,238018,44
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2017,1,Jan 1 2017,38.57,-107.72,307143,43
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2018,1,Jan 1 2018,38.57,-107.72,308962,43
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2019,1,Jan 1 2019,38.57,-107.72,432818,42
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2020,1,Jan 1 2020,38.57,-107.72,341620,38
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain,CO,2021,1,Jan 1 2021,38.57,-107.72,308910,44
Bryce Canyon NP,Bryce Canyon National Park,BRCA,National Park,Intermountain,UT,2012,1,Jan 1 2012,37.57,-112.18,1385352,15
