Park,Name,ShortName,Unit Code,Park Type,Region,StateAbbr,State,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Acadia NP,Acadia National Park,Acadia,ACAD,National Park,Northeast,ME,Maine,11930,0,0,0,44.35,-68.21,1759142,967763,39090,292600
Arches NP,Arches National Park,Arches,ARCH,National Park,Intermountain,UT,Utah,14961,266,96,28,38.68,-109.57,549475,380357,93552,409658
Badlands NP,Badlands National Park,Badlands,BADL,National Park,Midwest,SD,South Dakota,9660,0,0,0,43.75,-102.5,656339,171908,31036,121208
Big Bend NP,Big Bend National Park,Big Bend,BIBE,National Park,Intermountain,TX,Texas,22059,3298,3101,1622,29.25,-103.25,55077,97019,112504,136647
Biscayne NP,Biscayne National Park,Biscayne,BISC,National Park,Southeast,FL,Florida,29877,742,0,0,25.65,-80.08,156062,101186,121049,148128
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,BLCA,National Park,Intermountain,CO,Colorado,509,6,0,0,38.57,-107.72,127793,74530,15046,52441
Bryce Canyon NP,Bryce Canyon National Park,Bryce Canyon,BRCA,National Park,Intermountain,UT,Utah,16265,67,62,3,37.57,-112.18,897981,540969,94137,432833
Canyonlands NP,Canyonlands National Park,Canyonlands,CANY,National Park,Intermountain,UT,Utah,5822,176,81,187,38.2,-109.93,213150,189765,33779,212273
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,Utah,10752,37,21,7,38.2,-111.17,355214,302828,45022,308952
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,New Mexico,14044,0,0,9,32.17,-104.44,155284,78403,55091,115136
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,California,15786,0,0,229,34.01,-119.42,113931,73382,48035,78604
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,South Carolina,8132,0,0,132,33.78,-80.78,31803,33297,27531,45465
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,Oregon,7969,0,0,103,42.94,-122.1,400278,144806,19830,68288
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,Ohio,86320,0,0,0,41.24,-81.55,871455,590927,283717,573142
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,California,61713,6765,10746,0,36.24,-116.82,293028,314611,261200,348160
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,Florida,6072,256,0,0,24.63,-82.87,18074,12229,16085,18710
Everglades NP,Everglades National Park,Everglades,EVER,National Park,Southeast,FL,Florida,128689,2142,3345,1652,25.32,-80.93,183932,169325,344025,271387
Gateway Arch NP,Gateway Arch National Park,Gateway Arch,JEFF,National Park,Midwest,MO,Missouri,56326,0,0,0,38.63,-90.19,848181,307947,145837,374272
Glacier NP,Glacier National Park,Glacier,GLAC,National Park,Intermountain,MT,Montana,10318,2,6,21,48.8,-114,1864239,512875,42459,190913
Grand Canyon NP,Grand Canyon National Park,Grand Canyon,GRCA,National Park,Intermountain,AZ,Arizona,141357,336,138,5482,36.06,-112.14,1908723,1238862,677015,1302643
Grand Teton NP,Grand Teton National Park,Grand Teton,GRTE,National Park,Intermountain,WY,Wyoming,38762,0,0,213,43.73,-110.8,1981309,730432,141014,346652
Great Basin NP,Great Basin National Park,Great Basin,GRBA,National Park,Pacific West,NV,Nevada,1339,21,42,28,38.98,-114.3,62451,35081,5042,24855
Great Sand Dunes NP & PRES,Great Sand Dunes National Park,Great Sand Dunes,GRSA,National Park,Intermountain,CO,Colorado,1596,56,30,17,37.73,-105.51,762238,383339,104169,351678
Great Smoky Mountains NP,Great Smoky Mountains National Park,Great Smoky Mountains,GRSM,National Park,Southeast,TN,Tennessee,269282,198,213,2739,35.68,-83.53,4143721,3370992,1351380,2406944
Guadalupe Mountains NP,Guadalupe Mountains National Park,Guadalupe Mountains,GUMO,National Park,Intermountain,TX,Texas,7733,245,155,91,31.92,-104.87,37959,50028,33923,58516
Hot Springs NP,Hot Springs National Park,Hot Springs,HOSP,National Park,Midwest,AR,Arkansas,64057,74,186,0,34.51,-93.05,535114,382718,214810,373551
Indiana Dunes NP,Indiana Dunes National Park,Indiana Dunes,INDU,National Park,Midwest,IN,Indiana,58521,0,0,0,41.6533,-87.0524,954619,441714,197305,404563
