Park,Name,Unit Code,Park Type,Region,State,Year,Latitude,Longitude,Visits,Date
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2012,44.35,-68.21,2431052,1/1/2012
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2013,44.35,-68.21,2254922,1/1/2013
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2014,44.35,-68.21,2563129,1/1/2014
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2015,44.35,-68.21,2811184,1/1/2015
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2016,44.35,-68.21,3303393,1/1/2016
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2017,44.35,-68.21,3509271,1/1/2017
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2018,44.35,-68.21,3537575,1/1/2018
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2019,44.35,-68.21,3437286,1/1/2019
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2020,44.35,-68.21,2669034,1/1/2020
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,2021,44.35,-68.21,4069098,1/1/2021
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2012,38.68,-109.57,1070577,1/1/2012
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2013,38.68,-109.57,1082866,1/1/2013
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2014,38.68,-109.57,1284767,1/1/2014
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2015,38.68,-109.57,1399247,1/1/2015
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2016,38.68,-109.57,1585718,1/1/2016
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2017,38.68,-109.57,1539028,1/1/2017
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2018,38.68,-109.57,1663557,1/1/2018
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2019,38.68,-109.57,1659702,1/1/2019
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2020,38.68,-109.57,1238083,1/1/2020
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,2021,38.68,-109.57,1806865,1/1/2021
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2012,43.75,-102.5,883406,1/1/2012
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2013,43.75,-102.5,892372,1/1/2013
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2014,43.75,-102.5,868094,1/1/2014
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2015,43.75,-102.5,989354,1/1/2015
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2016,43.75,-102.5,996263,1/1/2016
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2017,43.75,-102.5,1054325,1/1/2017
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2018,43.75,-102.5,1008942,1/1/2018
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2019,43.75,-102.5,970998,1/1/2019
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2020,43.75,-102.5,916932,1/1/2020
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,2021,43.75,-102.5,1224226,1/1/2021
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2012,29.25,-103.25,292055,1/1/2012
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2013,29.25,-103.25,316953,1/1/2013
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2014,29.25,-103.25,314102,1/1/2014
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,29.25,-103.25,381747,1/1/2015
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2016,29.25,-103.25,388290,1/1/2016
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2017,29.25,-103.25,440276,1/1/2017
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2018,29.25,-103.25,440091,1/1/2018
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2019,29.25,-103.25,463832,1/1/2019
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2020,29.25,-103.25,393907,1/1/2020
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,2021,29.25,-103.25,581220,1/1/2021
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2012,25.65,-80.08,495613,1/1/2012
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2013,25.65,-80.08,486848,1/1/2013
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2014,25.65,-80.08,525745,1/1/2014
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2015,25.65,-80.08,508164,1/1/2015
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2016,25.65,-80.08,514709,1/1/2016
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2017,25.65,-80.08,446961,1/1/2017
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2018,25.65,-80.08,469253,1/1/2018
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,2019,25.65,-80.08,708522,1/1/2019
